playerMaxSpeed,33
playerAccel,200
darwinMaxSpeed,30
darwinAccel,190
darwinBoostAmount,5000
darwinBoostFalloff,0.95
darwinPlayerCushionSize,240,this one strictly needs to be greater than 200
darwinPlayerCushionSlowDown,0.95
gravity,-400
jumpVelocity,160
slowdownDuration,120,keep this one an int
slowdownAmount,0.4
doubleTreeProbability,0.5
frontBGLayerScrollSpeed,0.0
middleBGLayerScrollSpeed,0.8
backBGLayerScrollSpeed,2.0
bulletSpriteSize,40
bulletSpriteRotateSpeed,10
treeStumpFriction,0
bananaFlyingChance,0.5
bananaFlyingInitialImpulseX,120
bananaFlyingInitialImpulseY,0
bananaTentaclesInitialImpulseX,120
bananaTentaclesInitialImpulseY,220
bananaFlyingHoldTime,60
bananaFlyingHomingForce,1.2
bananaTentaclesGravity,-500
bananaPoofTime,12
bananaSwingTime,28
bananaFlyingWingFlapTime,6
bananaTentaclesFlailTime,6
bananaTentaclesRestitution,0.4
treeStumpMinSpacing,800
treeStumpMaxSpacing,900
treeStumpSecondarySpacing,200
showHitboxes,0
bananaMinSpacing,600
bananaMaxSpacing,1800
bananaHeight,400
rockFirstPosition,2000
rockSpacing,1800
bulletFireOffset,150
reloadTime,30
obstacleSpacing,300
